Plot Type: ResidualPlot
Plot Title: Residual Analysis

Predicted Value,Residual
121.231,-0.930929
121.231,0.869071
121.231,4.26907
121.231,-2.33093
121.231,-6.03093
121.231,-10.5309
121.231,-8.43093
121.231,-3.03093
121.231,2.36907
121.231,7.16907
121.231,5.06907
121.231,1.66907
121.231,-1.53093
121.231,-4.43093
121.231,-7.03093
121.231,-2.93093
121.231,0.469071
121.231,3.96907
121.231,8.86907
121.231,8.36907
121.231,3.56907
121.231,0.269071
121.231,-2.93093
121.231,-5.53093
121.231,-3.83093
121.231,-0.630929
121.231,2.66907
121.231,6.56907
121.231,11.0691
121.231,8.26907
121.231,3.46907
