Plot Type: ScatterPlot
Plot Title: Actual vs Predicted Values

Actual Value,Predicted Value
120.3,121.231
122.1,121.231
125.5,121.231
118.9,121.231
115.2,121.231
110.7,121.231
112.8,121.231
118.2,121.231
123.6,121.231
128.4,121.231
126.3,121.231
122.9,121.231
119.7,121.231
116.8,121.231
114.2,121.231
118.3,121.231
121.7,121.231
125.2,121.231
130.1,121.231
129.6,121.231
124.8,121.231
121.5,121.231
118.3,121.231
115.7,121.231
117.4,121.231
120.6,121.231
123.9,121.231
127.8,121.231
132.3,121.231
129.5,121.231
124.7,121.231
