Plot Type: TimeSeries
Plot Title: Model Predictions Over Time

Date,Actual Value,Predicted Value
2023-01-01,120.3,121.231
2023-01-02,122.1,121.231
2023-01-03,125.5,121.231
2023-01-04,118.9,121.231
2023-01-05,115.2,121.231
2023-01-06,110.7,121.231
2023-01-07,112.8,121.231
2023-01-08,118.2,121.231
2023-01-09,123.6,121.231
2023-01-10,128.4,121.231
2023-01-11,126.3,121.231
2023-01-12,122.9,121.231
2023-01-13,119.7,121.231
2023-01-14,116.8,121.231
2023-01-15,114.2,121.231
2023-01-16,118.3,121.231
2023-01-17,121.7,121.231
2023-01-18,125.2,121.231
2023-01-19,130.1,121.231
2023-01-20,129.6,121.231
2023-01-21,124.8,121.231
2023-01-22,121.5,121.231
2023-01-23,118.3,121.231
2023-01-24,115.7,121.231
2023-01-25,117.4,121.231
2023-01-26,120.6,121.231
2023-01-27,123.9,121.231
2023-01-28,127.8,121.231
2023-01-29,132.3,121.231
2023-01-30,129.5,121.231
2023-01-31,124.7,121.231
